SUBPARTITION_NAME	HIGH_VALUE
DARBYS20260611	TIMESTAMP' 2026-06-12 00:00:00'
DERMSERVLLC20260611	TIMESTAMP' 2026-06-12 00:00:00'
DOUGHERTYSPHARMACYINC20260611	TIMESTAMP' 2026-06-12 00:00:00'
DUMMY20260611	TIMESTAMP' 2026-06-12 00:00:00'
EAGLESCRIPTSAPOTHECARY20260611	TIMESTAMP' 2026-06-12 00:00:00'
ECOM20260611	TIMESTAMP' 2026-06-12 00:00:00'
EHRCC20260611	TIMESTAMP' 2026-06-12 00:00:00'
EISNERMEDICAL20260611	TIMESTAMP' 2026-06-12 00:00:00'
ENTERPRISEBICHAIN20260611	TIMESTAMP' 2026-06-12 00:00:00'
EPSDEV707720260611	TIMESTAMP' 2026-06-12 00:00:00'
EXPRESSRX20260611	TIMESTAMP' 2026-06-12 00:00:00'
FLEXCAREPHARMACY20260611	TIMESTAMP' 2026-06-12 00:00:00'
FREDS20260611	TIMESTAMP' 2026-06-12 00:00:00'
FRESENIUSMEDICALCARE20260611	TIMESTAMP' 2026-06-12 00:00:00'
FRUTH20260611	TIMESTAMP' 2026-06-12 00:00:00'
GEAGLE20260611	TIMESTAMP' 2026-06-12 00:00:00'
GELSONSMARKETS20260611	TIMESTAMP' 2026-06-12 00:00:00'
GENRXCORPORATION20260611	TIMESTAMP' 2026-06-12 00:00:00'
GIANTEAGLETRNRXTESTING20260611	TIMESTAMP' 2026-06-12 00:00:00'
GILLETTE20260611	TIMESTAMP' 2026-06-12 00:00:00'
GRUBBSPHARMACY20260611	TIMESTAMP' 2026-06-12 00:00:00'
GUNDER20260611	TIMESTAMP' 2026-06-12 00:00:00'
GUNDERSENDEGENBERGLUND20260611	TIMESTAMP' 2026-06-12 00:00:00'
HAGGEN20260611	TIMESTAMP' 2026-06-12 00:00:00'
HANNAF20260611	TIMESTAMP' 2026-06-12 00:00:00'
HEALTHSCRIPTS20260611	TIMESTAMP' 2026-06-12 00:00:00'
HOMETOWNSUPERMARKETS20260611	TIMESTAMP' 2026-06-12 00:00:00'
INDIANA_UNIVERSITY_HEA20260611	TIMESTAMP' 2026-06-12 00:00:00'
JACKSONPACEPHARMACY20260611	TIMESTAMP' 2026-06-12 00:00:00'
JERRYSCHAIN803320260611	TIMESTAMP' 2026-06-12 00:00:00'
KELLERAPOTHECARY20260611	TIMESTAMP' 2026-06-12 00:00:00'
KENMOREPHARMACY20260611	TIMESTAMP' 2026-06-12 00:00:00'
KINSLEYDRUG20260611	TIMESTAMP' 2026-06-12 00:00:00'
KMART20260611	TIMESTAMP' 2026-06-12 00:00:00'
LAURELHEIGHTSPHARMACY20260611	TIMESTAMP' 2026-06-12 00:00:00'
LILYSCHAIN803420260611	TIMESTAMP' 2026-06-12 00:00:00'
LINDENWOODDRUG20260611	TIMESTAMP' 2026-06-12 00:00:00'
LITTLECREEKDRUGSMITH20260611	TIMESTAMP' 2026-06-12 00:00:00'
LITTLECREEKDRUGSOUTH20260611	TIMESTAMP' 2026-06-12 00:00:00'
LONEST20260611	TIMESTAMP' 2026-06-12 00:00:00'
LOWELL20260611	TIMESTAMP' 2026-06-12 00:00:00'
LUNDSBY20260611	TIMESTAMP' 2026-06-12 00:00:00'
MEDI20260611	TIMESTAMP' 2026-06-12 00:00:00'
MEDICINECHESTPHARMACY20260611	TIMESTAMP' 2026-06-12 00:00:00'
MEDSHP20260611	TIMESTAMP' 2026-06-12 00:00:00'
MEIJER20260611	TIMESTAMP' 2026-06-12 00:00:00'
MOBIMEDSINC20260611	TIMESTAMP' 2026-06-12 00:00:00'
NAMBEDRUGSLOSALAMOS20260611	TIMESTAMP' 2026-06-12 00:00:00'
NEIGHBORHOODHEALTHCARE20260611	TIMESTAMP' 2026-06-12 00:00:00'
NEKOSDEDRICKSPHARMACY20260611	TIMESTAMP' 2026-06-12 00:00:00'
OTHER20260611	TIMESTAMP' 2026-06-12 00:00:00'
OUTRIGGERS20260611	TIMESTAMP' 2026-06-12 00:00:00'
PCHS20260611	TIMESTAMP' 2026-06-12 00:00:00'
PDXQA400020260611	TIMESTAMP' 2026-06-12 00:00:00'
PDXQA500020260611	TIMESTAMP' 2026-06-12 00:00:00'
PERFORMANCECHAIN200020260611	TIMESTAMP' 2026-06-12 00:00:00'
PHARMACA20260611	TIMESTAMP' 2026-06-12 00:00:00'
PHARMACARE20260611	TIMESTAMP' 2026-06-12 00:00:00'
PHARMACYARTS20260611	TIMESTAMP' 2026-06-12 00:00:00'
PHILSPHARMACY20260611	TIMESTAMP' 2026-06-12 00:00:00'
PRIMARYHEALTHCARE20260611	TIMESTAMP' 2026-06-12 00:00:00'
PRIMEMARTPHARMACY20260611	TIMESTAMP' 2026-06-12 00:00:00'
ACMEHQ20260611	TIMESTAMP' 2026-06-12 00:00:00'
AKINSDRUGSTORE20260611	TIMESTAMP' 2026-06-12 00:00:00'
ALBERT20260611	TIMESTAMP' 2026-06-12 00:00:00'
ALBSAFEWAY20260611	TIMESTAMP' 2026-06-12 00:00:00'
AMBULATORYCARE20260611	TIMESTAMP' 2026-06-12 00:00:00'
AMSLERPHARMACY20260611	TIMESTAMP' 2026-06-12 00:00:00'
ANDOVERAPOTHECARY20260611	TIMESTAMP' 2026-06-12 00:00:00'
APOTHERCARY20260611	TIMESTAMP' 2026-06-12 00:00:00'
ARCHQACHAIN600020260611	TIMESTAMP' 2026-06-12 00:00:00'
ARUNDELPHARMACY20260611	TIMESTAMP' 2026-06-12 00:00:00'
AVELLA20260611	TIMESTAMP' 2026-06-12 00:00:00'
BEST20260611	TIMESTAMP' 2026-06-12 00:00:00'
BOICEVILLEPHARMACY20260611	TIMESTAMP' 2026-06-12 00:00:00'
BURKLOW20260611	TIMESTAMP' 2026-06-12 00:00:00'
CACTUSDRUG20260611	TIMESTAMP' 2026-06-12 00:00:00'
CANOHEALTH20260611	TIMESTAMP' 2026-06-12 00:00:00'
CAREMEDPHARMACY20260611	TIMESTAMP' 2026-06-12 00:00:00'
CARERXOFFSHORE20260611	TIMESTAMP' 2026-06-12 00:00:00'
CENTRALVALLEYMEDICAL20260611	TIMESTAMP' 2026-06-12 00:00:00'
CIRCLE_RXINC20260611	TIMESTAMP' 2026-06-12 00:00:00'
COLUMBIAVALLEY20260611	TIMESTAMP' 2026-06-12 00:00:00'
COSTCO20260611	TIMESTAMP' 2026-06-12 00:00:00'
COSTCOWESTFARGOPHARM20260611	TIMESTAMP' 2026-06-12 00:00:00'
COVANCEPHARMACY20260611	TIMESTAMP' 2026-06-12 00:00:00'
CROSSCHAIN120260611	TIMESTAMP' 2026-06-12 00:00:00'
CROSSCHAIN220260611	TIMESTAMP' 2026-06-12 00:00:00'
CROSSCHAIN320260611	TIMESTAMP' 2026-06-12 00:00:00'
CROSSCHAIN420260611	TIMESTAMP' 2026-06-12 00:00:00'
